국가별수출입 실적,,,,,,
,,,,,,
"통계기준:수리일,조회구분:201908 ~202007 ,국가:전체",,,,,,
,,,,,,"단위:천 불(USD 1,000)"
2019.12,나이지리아,866,"60,655",82,"66,934","-6,279"
2019.12,토고,111,"57,921",25,"2,701","55,221"
2019.12,바레인,334,"52,860",80,"79,698","-26,839"
2019.12,리비아,"10,601","52,394",9,"2,456","49,938"
2019.12,루마니아,"1,040","49,804","4,778","41,013","8,791"
2019.12,요르단,"1,585","46,898",83,"9,697","37,200"
2019.12,포루투갈,817,"46,749","6,931","24,193","22,556"
2019.12,덴마크,"1,082","38,759","2,572","88,843","-50,084"
2019.12,스위스,"1,141","37,155","4,539","246,418","-209,263"
2019.12,카타르,626,"32,995",188,"1,158,662","-1,125,667"
2019.12,그리스,940,"32,785",433,"10,985","21,800"
2019.12,우크라이나,"3,474","31,403",333,"27,506","3,898"
2019.12,푸에르토리코,142,"30,195",101,"15,799","14,396"
2019.12,모로코,425,"29,402",710,"10,326","19,076"
2019.12,핀란드,716,"28,523","1,267","68,533","-40,010"
2019.12,리투아니아,374,"26,380",794,"6,205","20,175"
2019.12,에쿠아도르,557,"25,910",249,"7,780","18,129"
2019.12,세네갈,222,"24,876",61,"2,903","21,973"
2019.12,아르헨티나,875,"23,786",474,"116,259","-92,473"
2019.12,도미니카 공화국,490,"23,533",116,"7,706","15,827"
2019.12,스리랑카,"1,102","23,350",419,"8,053","15,298"
2019.12,이란,384,"22,732",42,859,"21,873"
2019.12,코트디봐르,155,"22,402",3,53,"22,349"
2019.12,과테말라,"1,071","20,738",274,"4,750","15,988"
2019.12,가나,"1,786","20,265",47,"4,658","15,607"
2019.12,몽골,"1,655","16,306",882,"1,221","15,085"
2019.12,불가리아,408,"15,390","1,846","43,512","-28,122"
2019.12,수단,512,"15,355",7,"1,242","14,112"
2019.12,케냐,318,"14,220",98,"3,159","11,061"
2019.12,크로아티아,210,"14,086",204,"2,139","11,947"
2019.12,아제르바이잔,304,"13,088",2,0,"13,088"
2019.12,시리아,795,"12,617",11,34,"12,583"
2019.12,세르비아,201,"12,604",121,"13,453",-849
2019.12,튀니지,184,"10,909",787,"7,515","3,394"
2019.12,예맨,"1,817","10,635",90,"6,187","4,448"
2019.12,파라과이,150,"10,614",79,"24,591","-13,977"
2019.12,엘살바도르,173,"10,479",90,"1,801","8,678"
2019.12,탄자니아,363,"9,618",46,719,"8,900"
2019.12,온두라스,245,"9,475",102,"2,445","7,030"
2019.12,이디오피아,139,"9,177",215,"5,411","3,766"
2019.12,우루과이,198,"8,466",53,"10,686","-2,220"
2019.12,코스타리카,317,"8,282",319,"9,376","-1,094"
2019.12,아이슬란드,63,"8,021",59,"1,873","6,148"
2019.12,트리니다드 토바고,89,"7,813",46,"13,752","-5,939"
2019.12,에스토니아,313,"7,330",321,"6,068","1,262"
2019.12,라트비아,269,"7,296",271,"7,042",254
2019.12,베라루스,292,"7,011",48,"7,098",-87
2019.12,브루나이,138,"6,923",14,561,"6,362"
2019.12,니카라과,216,"6,878",58,"1,807","5,071"
2019.12,키르기스스탄,300,"6,674",7,356,"6,318"
2019.12,기타국,68,"6,619",764,"129,101","-122,482"
2019.12,라오스,142,"6,573",81,"2,709","3,864"
2019.12,조지아,430,"6,549",61,"1,880","4,669"
2019.12,레바논,148,"6,445",45,"1,840","4,605"
2019.12,파푸아 뉴기니,77,"5,451",37,"25,173","-19,723"
2019.12,괌,315,"5,144",41,824,"4,320"
2019.12,피지,108,"4,737",28,"1,470","3,267"
2019.12,모잠비크,76,"4,596",12,410,"4,186"
2019.12,타지크,"1,035","4,412",0,0,"4,412"
2019.12,사이프러스,124,"4,170",41,918,"3,252"
2019.12,마다카스카르,188,"4,065",74,"11,725","-7,660"
2019.12,몰타,257,"3,898",136,"4,097",-199
2019.12,콩고민주공화국,24,"3,619",32,"30,406","-26,788"
2019.12,아프카니스탄,80,"3,298",6,6,"3,291"
2019.12,지부티,69,"3,224",8,805,"2,419"
2019.12,룩셈부르그,116,"2,959",166,"5,492","-2,533"
2019.12,카메룬,129,"2,853",15,"36,363","-33,510"
2019.12,팔레스타인 해방기구,65,"2,744",1,165,"2,579"
2019.12,아이티,87,"2,731",24,576,"2,155"
2019.12,뉴 칼레도니아,91,"2,669",27,"33,652","-30,983"
2019.12,앙골라,113,"2,660",12,"1,574","1,086"
2019.12,기니,149,"2,574",61,"5,744","-3,170"
2019.12,모리셔스,137,"2,506",68,"1,119","1,387"
2019.12,세이쉘,45,"2,482",7,361,"2,121"
2019.12,베네주엘라,59,"2,349",25,"1,355",994
2019.12,부르키나 파소,18,"2,335",5,0,"2,334"
2019.12,자마이카,52,"2,309",14,395,"1,914"
2019.12,마카오,197,"2,193",117,224,"1,970"
2019.12,투르크멘,19,"2,130",1,3,"2,127"
2019.12,아르메니아,97,"2,040",175,"1,970",70
2019.12,네팔,162,"1,922",100,242,"1,681"
2019.12,사모아,25,"1,795",1,24,"1,771"
2019.12,쿠바,39,"1,778",4,79,"1,699"
2019.12,볼리비아,83,"1,657",45,"39,331","-37,674"
2019.12,잠비아,46,"1,563",7,676,887
2019.12,가이아나,40,"1,529",2,268,"1,261"
2019.12,아메리칸 사모아,16,"1,508",9,131,"1,377"
2019.12,통가,4,"1,388",10,879,509
2019.12,알바니아,70,"1,387",212,333,"1,054"
2019.12,몰도바,92,"1,270",328,982,288
2019.12,소말리아,32,"1,258",0,3,"1,256"
2019.12,불령 폴리네시아,59,"1,232",0,1,"1,232"
2019.12,북마리아나 군도,166,"1,155",8,104,"1,051"
2019.12,몰디브,61,"1,124",3,1,"1,123"
2019.12,과델로프,12,"1,092",2,0,"1,092"
2019.12,리히텐슈타인,36,"1,087",67,"1,906",-819
2019.12,아루바,21,"1,036",0,0,"1,036"
2019.12,바베이도스,18,"1,012",6,51,961
2019.12,콩고,44,926,7,242,684
2019.12,큐라소,18,915,0,0,915
2019.12,불령 리유니온 코모도 제도,24,913,1,2,910
2019.12,세인트 마틴,11,910,0,0,910
2019.12,마티니크,17,859,0,0,859
2019.12,수리남,23,830,10,511,320
2019.12,짐바브웨,14,775,21,85,691
2019.12,말리,17,753,5,"2,549","-1,796"
2019.12,팔라우,22,730,3,"3,137","-2,407"
2019.12,바하마,22,657,3,0,656
2019.12,세인트 루시아,8,602,0,0,602
2019.12,모리타니,14,577,18,"2,474","-1,897"
2019.12,보스니아-헤르체고비나,34,559,514,"2,107","-1,548"
2019.12,솔로몬 군도,22,525,3,423,102
2019.12,티모르,9,499,3,55,444
2019.12,우간다,31,490,28,154,336
2019.12,루안다,39,472,10,193,280
2019.12,불령 가이아나,12,461,1,0,461
2019.12,버뮤다,13,452,1,1,451
2019.12,벨리제,10,432,0,0,432
2019.12,메요트,2,404,0,0,404
2019.12,마세도니아,43,393,32,"1,372",-979
2019.12,영령 캐이맨 군도,7,351,1,0,351
2019.12,가봉,67,345,2,"52,707","-52,362"
2019.12,마이크로네시아,24,294,1,2,293
2019.12,시에라 리온,16,279,28,"2,250","-1,971"
2019.12,나미비아,15,272,9,39,233
2019.12,코모로스,7,238,0,0,238
2019.12,안티가 바부다,5,224,1,46,178
2019.12,보츠와나,11,218,8,43,175
2019.12,베닝,14,212,3,78,134
2019.12,몬테네그로,13,200,1,90,110
2019.12,바누아투,28,196,11,"1,645","-1,448"
2019.12,부탄,38,192,2,0,192
2019.12,말라위,12,187,8,45,142
2019.12,도미니카,7,184,1,10,175
2019.12,부룬디,6,179,3,42,137
2019.12,지브랄타,15,155,0,0,155
2019.12,키리바티,26,139,3,1,138
2019.12,스와질랜드,18,134,8,171,-38
2019.12,영령 버진군도,3,133,1,0,133
2019.12,네덜란드 열도,12,122,1,0,121
2019.12,세인트 바르탤르미,3,111,0,0,111
2019.12,투르크 & 카이코스 군도,1,105,0,0,105
2019.12,니제르,4,73,1,0,73
2019.12,그레나다,3,68,0,0,68
2019.12,세인트 키츠 네비스,3,56,2,0,55
2019.12,감비아,36,48,3,175,-127
2019.12,앙귈라,5,46,1,0,46
2019.12,챠드,11,45,1,0,45
2019.12,몬트세라트,1,43,0,1,42
2019.12,남수단,3,34,0,0,34
2019.12,카보 베르데,1,33,0,0,33
2019.12,에리트리아,2,31,0,0,31
2019.12,기네비소,2,24,3,328,-305
2019.12,세인트 빈센트 그레나딘,1,21,0,0,21
2019.12,나우르,1,19,1,3,17
2019.12,쿡 아일랜드,2,17,1,56,-39
2019.12,산마리노,3,10,17,944,-934
2019.12,레소토,1,4,12,27,-23
2019.12,미령 버진군도,3,4,5,14,-10
2019.12,안도라,3,2,21,18,-16
2019.12,모나코,1,1,6,187,-186
2019.12,저어지,1,0,0,0,0
2019.12,마이너 아우틀링 합중국 군도,0,0,0,0,0
2019.12,중앙아프리카공화국,0,0,1,0,0
2019.12,토켈라우,0,0,2,1,-1
2019.12,코스 군도,0,0,0,0,0
2019.12,세인트마틴(생마르탱),1,0,0,0,0
2019.12,니우에,0,0,0,26,-26
2019.12,상토메 프린스페,0,0,0,1,-1
2019.12,맨섬,0,0,8,5,-5
2019.12,세인트 헬레나,0,0,0,0,0
2019.12,피트카이른,0,0,1,0,0
2019.12,안타티카,0,0,2,1,-1
2019.12,왈라스 & 퓨투나 군도,0,0,1,0,0
2019.12,파로에 군도,1,0,2,9,-9
2019.12,적도 기니,1,0,0,0,0
2019.12,그린랜드,4,0,0,0,0
2019.12,포클랜드 군도,1,0,0,0,0
2020.01,중국,"141,438","9,642,031","311,812","9,428,226","213,805"
2020.01,미국,"84,297","5,740,347","1,207,003","5,577,076","163,272"
2020.01,베트남,"49,875","4,081,500","33,125","1,846,198","2,235,302"
2020.01,일본,"117,119","2,434,953","122,945","3,163,260","-728,307"
2020.01,말레이시아,"14,119","2,278,461","11,291","969,919","1,308,542"
2020.01,홍콩,"21,072","2,193,755","24,494","127,274","2,066,481"
2020.01,인도,"19,242","1,227,490","11,556","566,832","660,658"
2020.01,대만,"23,824","1,172,396","22,854","1,384,239","-211,843"
2020.01,싱가포르,"31,479","1,084,771","12,524","884,791","199,980"
2020.01,독일,"12,675","728,795","208,268","1,349,395","-620,600"
2020.01,멕시코,"11,514","720,072","6,739","647,584","72,488"
2020.01,필리핀,"9,036","715,652","6,596","257,011","458,641"
2020.01,태국,"14,287","605,976","11,609","430,110","175,866"
2020.01,인도네시아,"19,605","588,782","7,238","682,743","-93,960"
2020.01,라이베리아,66,"573,334",43,153,"573,181"
2020.01,호주,"8,858","553,671","56,140","1,928,577","-1,374,906"
2020.01,러시아 연방,"8,824","523,531","1,900","1,265,685","-742,154"
2020.01,터키,"5,732","462,734","3,623","106,970","355,764"
2020.01,폴란드,"6,523","443,419","2,738","60,840","382,579"
2020.01,캐나다,"8,948","435,432","18,405","278,458","156,975"
2020.01,카자흐스탄,982,"407,092",62,"166,842","240,250"
2020.01,프랑스,"5,270","369,322","19,552","539,168","-169,846"
2020.01,영국,"8,097","360,346","34,555","376,344","-15,998"
2020.01,아랍에미리트 연합,"6,095","347,918",541,"889,129","-541,211"
2020.01,브라질,"7,423","319,525","1,642","346,728","-27,204"
2020.01,이탈리아,"5,322","290,158","73,748","557,214","-267,057"
2020.01,네덜란드,"7,568","279,562","6,651","225,664","53,898"
2020.01,사우디아라비아,"2,797","255,848",526,"2,018,583","-1,762,735"
2020.01,벨기에,"1,875","249,539","2,195","144,369","105,171"
2020.01,헝가리,"1,983","224,982","1,526","38,816","186,166"
2020.01,슬로바키아,"1,444","219,319",846,"14,152","205,166"
2020.01,파나마,914,"196,941",91,"12,361","184,580"
2020.01,스페인,"3,915","189,000","7,079","181,846","7,154"
2020.01,체코공화국,"2,518","187,258","3,682","76,499","110,759"
2020.01,몰타,218,"185,041",123,"4,238","180,803"
2020.01,마샬군도,30,"163,403",45,30,"163,373"
2020.01,뉴질랜드,"1,912","138,418","49,196","97,538","40,880"
2020.01,우즈베크,"1,318","137,013",51,972,"136,041"
2020.01,이라크,918,"132,700",36,"703,830","-571,130"
2020.01,이집트,"3,369","112,496","1,199","46,897","65,599"
2020.01,토고,89,"112,195",29,"3,899","108,297"
2020.01,방글라데시,"2,688","95,946","1,168","41,084","54,861"
2020.01,이스라엘,"2,286","94,702","1,615","88,430","6,272"
2020.01,오스트리아,"2,179","83,880","4,788","128,295","-44,415"
2020.01,칠레,"2,087","73,457","1,316","316,602","-243,144"
2020.01,파키스탄,"1,600","68,971",690,"15,461","53,510"
2020.01,스웨덴,"1,173","66,921","4,031","135,669","-68,748"
2020.01,슬로베니아,604,"65,448",371,"14,985","50,464"
2020.01,콜롬비아,"1,222","65,181",650,"27,460","37,721"
2020.01,남아프리카공화국,"1,761","56,386","1,682","137,949","-81,562"
2020.01,오만,708,"50,837",76,"329,234","-278,396"
2020.01,포루투갈,832,"50,700","7,634","26,616","24,084"
2020.01,아일랜드,546,"50,101","1,297","96,033","-45,932"
2020.01,요르단,"1,340","48,422",91,"8,814","39,608"
2020.01,아르헨티나,930,"48,317",391,"89,315","-40,998"
2020.01,캄보디아,"2,214","46,428",676,"31,724","14,703"
2020.01,미얀마,"1,325","42,003",646,"36,377","5,627"
2020.01,나이지리아,845,"41,731",85,"211,823","-170,092"
2020.01,페루,"1,161","41,440",849,"304,693","-263,253"
2020.01,리비아,"7,197","41,174",12,"2,576","38,597"
2020.01,노르웨이,723,"39,120","2,339","109,123","-70,003"
2020.01,루마니아,949,"37,953","4,579","34,746","3,208"
2020.01,쿠웨이트,587,"37,660",43,"692,480","-654,820"
2020.01,알제리,277,"34,737",20,"185,044","-150,307"
2020.01,가나,"1,376","31,336",41,"1,955","29,380"
2020.01,스위스,"1,170","30,791","4,007","233,303","-202,513"
2020.01,모로코,399,"30,255",766,"14,247","16,008"
2020.01,에쿠아도르,486,"29,164",279,"12,802","16,362"
2020.01,덴마크,"1,055","28,986","2,583","82,205","-53,219"
2020.01,카타르,702,"26,762",182,"1,086,996","-1,060,234"
2020.01,피지,82,"25,016",23,"1,102","23,913"
2020.01,핀란드,672,"24,168","1,188","62,549","-38,380"
2020.01,그리스,795,"21,985",411,"81,527","-59,542"
2020.01,리투아니아,361,"21,639",750,"6,931","14,708"
2020.01,우크라이나,"2,677","20,852",347,"45,169","-24,317"
2020.01,푸에르토리코,116,"17,558",119,"18,199",-642
2020.01,스리랑카,873,"16,321",443,"18,081","-1,759"
2020.01,도미니카 공화국,453,"16,197",104,"5,940","10,256"
2020.01,케냐,312,"15,685",98,"2,504","13,181"
2020.01,바레인,236,"15,118",64,"23,997","-8,879"
2020.01,이란,307,"14,789",44,751,"14,038"
2020.01,몽골,"1,654","14,713",534,"2,317","12,397"
2020.01,엘살바도르,181,"14,314",95,"2,175","12,139"
2020.01,과테말라,"1,144","14,296",269,"4,959","9,337"
2020.01,탄자니아,355,"13,828",39,"1,577","12,251"
2020.01,크로아티아,212,"12,287",191,"2,153","10,134"
2020.01,불가리아,353,"12,153","1,700","34,663","-22,510"
2020.01,수단,418,"10,920",14,"2,112","8,808"
2020.01,온두라스,319,"9,296",84,"3,567","5,729"
2020.01,튀니지,192,"9,191",911,"6,828","2,363"
2020.01,예맨,"1,443","9,014",48,"3,188","5,827"
2020.01,코스타리카,300,"8,908",342,"7,322","1,586"
2020.01,세르비아,203,"8,189",112,"11,782","-3,593"
2020.01,라오스,164,"7,661",110,"5,762","1,899"
2020.01,모잠비크,62,"7,535",12,"32,889","-25,354"
2020.01,이디오피아,117,"7,251",289,"3,869","3,382"
2020.01,파라과이,138,"7,009",56,"22,556","-15,547"
2020.01,괌,358,"6,659",43,374,"6,286"
2020.01,조지아,385,"6,372",47,"1,209","5,164"
2020.01,에스토니아,278,"6,013",322,"8,051","-2,038"
2020.01,아이슬란드,38,"5,884",41,"1,194","4,690"
2020.01,레바논,169,"5,875",58,"2,690","3,185"
2020.01,시리아,413,"5,734",6,5,"5,729"
2020.01,아제르바이잔,212,"5,471",4,860,"4,611"
2020.01,키르기스스탄,251,"5,406",1,1,"5,405"
2020.01,코트디봐르,119,"5,392",5,75,"5,317"
2020.01,파푸아 뉴기니,64,"5,186",21,"16,632","-11,446"
2020.01,말리,15,"5,155",1,0,"5,155"
2020.01,브루나이,149,"4,866",18,"23,107","-18,241"
2020.01,사이프러스,103,"4,584",32,"10,810","-6,225"
2020.01,니카라과,162,"4,487",42,872,"3,615"
2020.01,베라루스,330,"4,307",47,"1,521","2,786"
2020.01,앙골라,112,"4,223",6,"28,380","-24,157"
2020.01,트리니다드 토바고,82,"4,079",51,"12,048","-7,970"
2020.01,우루과이,129,"3,942",54,"14,220","-10,278"
2020.01,세네갈,183,"3,803",40,"2,115","1,688"
2020.01,라트비아,268,"3,706",238,"6,370","-2,663"
2020.01,쿠바,22,"3,625",3,"1,381","2,244"
2020.01,사모아,23,"3,437",6,115,"3,322"
2020.01,부르키나 파소,21,"3,323",3,1,"3,321"
2020.01,타지크,905,"3,198",0,0,"3,198"
2020.01,마다카스카르,197,"3,163",112,"5,666","-2,503"
2020.01,루안다,72,"2,647",13,177,"2,469"
2020.01,네팔,143,"2,538",75,137,"2,401"
2020.01,마카오,168,"2,461",167,179,"2,282"
2020.01,아이티,67,"2,421",10,241,"2,181"
2020.01,아프카니스탄,116,"2,317",17,58,"2,259"
2020.01,자마이카,46,"2,232",8,221,"2,010"
2020.01,지부티,49,"2,200",7,707,"1,493"
2020.01,룩셈부르그,97,"2,185",188,"6,886","-4,700"
2020.01,기니,145,"2,009",57,"4,406","-2,398"
2020.01,콩고민주공화국,23,"1,959",29,"24,473","-22,514"
2020.01,뉴 칼레도니아,78,"1,912",8,"10,297","-8,384"
2020.01,모리셔스,108,"1,885",48,843,"1,042"
2020.01,불령 리유니온 코모도 제도,31,"1,778",1,0,"1,778"
2020.01,북마리아나 군도,166,"1,702",7,94,"1,608"
2020.01,팔레스타인 해방기구,53,"1,679",1,73,"1,606"
2020.01,볼리비아,98,"1,437",18,"17,169","-15,731"
2020.01,과델로프,15,"1,421",0,0,"1,421"
2020.01,카메룬,101,"1,407",13,188,"1,219"
2020.01,니제르,7,"1,401",0,6,"1,394"
2020.01,마티니크,17,"1,389",1,1,"1,388"
2020.01,알바니아,68,"1,339",288,235,"1,104"
2020.01,콩고,43,"1,316",7,601,715
2020.01,가이아나,30,"1,196",3,339,857
2020.01,베네주엘라,46,"1,073",14,"1,054",19
2020.01,짐바브웨,24,"1,071",21,628,444
2020.01,리히텐슈타인,36,"1,039",48,907,132
2020.01,몰도바,97,"1,025",273,817,208
2020.01,기타국,29,997,615,"139,625","-138,628"
2020.01,수리남,16,978,15,800,178
2020.01,아르메니아,61,971,229,700,271
2020.01,소말리아,18,962,2,383,578
2020.01,불령 폴리네시아,48,909,0,0,909
2020.01,바하마,32,834,5,2,832
2020.01,세이쉘,28,802,4,154,648
2020.01,세인트 마틴,11,759,0,0,759
2020.01,가봉,105,624,3,"4,313","-3,689"
2020.01,잠비아,34,618,3,71,547
2020.01,바누아투,46,564,15,704,-139
2020.01,키리바티,27,546,3,91,455
2020.01,팔라우,36,483,3,43,440
2020.01,안티가 바부다,8,472,0,0,472
2020.01,불령 가이아나,6,454,1,3,451
2020.01,부룬디,5,405,4,66,339
2020.01,바베이도스,12,389,5,68,321
2020.01,베닝,9,384,6,136,249
2020.01,말라위,14,384,11,99,285
2020.01,모리타니,12,328,14,"1,357","-1,029"
2020.01,마이크로네시아,36,325,1,0,325
2020.01,우간다,26,309,24,494,-185
2020.01,보스니아-헤르체고비나,23,296,191,"1,702","-1,406"
2020.01,큐라소,24,282,1,0,282
2020.01,아루바,18,281,1,0,281
2020.01,몰디브,41,251,0,0,251
2020.01,영령 버진군도,3,239,0,0,239
2020.01,벨리제,5,229,1,0,229
2020.01,마세도니아,19,226,27,188,38
2020.01,나미비아,24,220,11,426,-205
2020.01,그레나다,5,217,0,0,217
2020.01,카보 베르데,9,217,0,0,217
2020.01,솔로몬 군도,6,215,4,341,-125
2020.01,부탄,39,201,0,0,201
2020.01,투르크멘,15,196,2,1,195
2020.01,아메리칸 사모아,8,172,6,16,156
2020.01,버뮤다,7,143,1,0,143
2020.01,보츠와나,14,138,4,34,103
2020.01,영령 캐이맨 군도,5,132,0,0,132
2020.01,시에라 리온,6,128,17,"1,775","-1,648"
2020.01,나우르,8,107,0,0,107
2020.01,감비아,32,98,5,318,-219
2020.01,적도 기니,4,82,1,"36,348","-36,266"
2020.01,스와질랜드,10,73,7,235,-162
2020.01,지브랄타,13,66,0,0,66
2020.01,세인트 바르탤르미,3,62,1,0,62
2020.01,몬테네그로,5,54,1,0,54
2020.01,세인트 빈센트 그레나딘,3,54,1,2,52
2020.01,티모르,5,52,4,35,17
2020.01,모나코,6,50,5,172,-122
2020.01,남수단,2,43,0,0,43
2020.01,챠드,11,43,0,1,42
2020.01,네덜란드 열도,5,39,0,0,39
2020.01,도미니카,5,32,0,2,30
2020.01,산마리노,2,24,15,789,-764
2020.01,안도라,5,24,12,13,11
2020.01,앙귈라,6,12,1,0,12
2020.01,상토메 프린스페,3,9,0,0,9
2020.01,포클랜드 군도,4,8,0,0,8
2020.01,투르크 & 카이코스 군도,1,8,1,2,6
2020.01,왈라스 & 퓨투나 군도,2,7,0,0,7
2020.01,통가,1,7,8,134,-128
2020.01,미령 버진군도,1,6,4,23,-17
2020.01,그린랜드,1,4,0,0,4
2020.01,세인트 키츠 네비스,1,2,1,2,0
2020.01,투발루,1,1,0,0,1
2020.01,기네비소,0,0,2,206,-206
2020.01,저어지,2,0,0,0,0
2020.01,코모로스,0,0,1,1,-1
2020.01,레소토,0,0,11,12,-12
2020.01,노폴크 아일랜드,0,0,1,0,0
2020.01,건지,0,0,1,2,-2
2020.01,파로에 군도,0,0,1,1,-1
2020.01,에리트리아,0,0,1,"6,769","-6,769"
2020.01,크리스마스 아일랜드,0,0,1,1,-1
2020.01,중앙아프리카공화국,1,0,1,32,-32
2020.01,보빗군도,0,0,1,0,0
2020.01,마이너 아우틀링 합중국 군도,0,0,2,0,0
2020.01,니우에,0,0,1,10,-10
2020.01,토켈라우,0,0,0,0,0
2020.02,중국,"145,546","8,824,933","161,810","5,553,041","3,271,893"
2020.02,미국,"88,394","5,931,572","1,356,389","5,435,012","496,560"
2020.02,베트남,"53,969","3,931,517","35,433","1,498,133","2,433,384"
2020.02,홍콩,"23,237","2,546,966","27,632","129,395","2,417,570"
2020.02,일본,"121,121","2,265,045","136,473","3,771,979","-1,506,934"
2020.02,인도,"21,039","1,384,859","12,319","515,487","869,372"
2020.02,싱가포르,"50,146","1,140,564","13,732","567,146","573,418"
2020.02,대만,"28,006","1,066,634","23,759","1,328,060","-261,426"
2020.02,멕시코,"12,444","733,407","5,939","507,380","226,028"
2020.02,말레이시아,"15,021","685,743","11,151","841,727","-155,984"
2020.02,태국,"14,512","646,412","12,704","445,459","200,952"
2020.02,필리핀,"10,109","639,404","7,539","236,643","402,760"
2020.02,인도네시아,"18,175","601,157","9,067","679,343","-78,185"
2020.02,독일,"13,218","592,074","222,382","1,530,818","-938,744"
2020.02,터키,"6,557","583,194","3,478","70,148","513,046"
2020.02,러시아 연방,"10,630","540,899","1,799","1,225,829","-684,930"
2020.02,호주,"9,778","459,049","56,954","1,315,474","-856,425"
2020.02,캐나다,"9,513","383,705","18,056","380,693","3,013"
2020.02,영국,"8,883","377,896","35,546","271,235","106,661"
2020.02,폴란드,"6,899","370,017","2,710","62,861","307,156"
2020.02,브라질,"7,438","360,012","1,551","267,654","92,357"
2020.02,네덜란드,"8,082","356,532","8,526","333,994","22,537"
2020.02,아랍에미리트 연합,"6,735","340,594",551,"968,636","-628,042"
2020.02,카자흐스탄,"1,337","300,907",47,"81,888","219,020"
2020.02,라이베리아,58,"295,928",87,261,"295,667"
2020.02,사우디아라비아,"3,031","271,476",514,"1,745,582","-1,474,106"
2020.02,이탈리아,"5,551","265,142","74,516","499,636","-234,494"
2020.02,벨기에,"2,239","252,241","2,898","145,425","106,817"
2020.02,슬로바키아,"1,541","250,183","1,094","33,536","216,647"
2020.02,헝가리,"2,164","232,756","1,348","34,004","198,752"
2020.02,체코공화국,"2,664","227,401","4,069","65,825","161,576"
2020.02,프랑스,"5,780","223,525","19,301","421,047","-197,523"
2020.02,마샬군도,17,"193,547",25,77,"193,470"
2020.02,스페인,"4,438","192,282","6,592","131,009","61,273"
2020.02,버뮤다,10,"184,937",4,46,"184,891"
2020.02,우즈베크,"1,643","160,502",52,892,"159,610"
2020.02,쿠웨이트,657,"157,138",51,"804,793","-647,655"
2020.02,노르웨이,782,"154,213","2,272","172,922","-18,709"
2020.02,토고,112,"145,037",21,"2,782","142,255"
2020.02,파나마,"1,006","144,453",88,"53,903","90,550"
2020.02,뉴질랜드,"2,155","140,443","47,043","83,924","56,519"
2020.02,이라크,"1,058","118,575",28,"667,837","-549,263"
2020.02,방글라데시,"2,683","107,368","1,114","38,798","68,569"
2020.02,파키스탄,"1,804","103,050",635,"24,257","78,793"
2020.02,이집트,"3,263","92,877",742,"48,747","44,129"
2020.02,이스라엘,"2,236","89,984","1,524","83,478","6,506"
2020.02,오스트리아,"2,510","88,488","5,073","116,046","-27,558"
2020.02,슬로베니아,662,"79,796",379,"7,111","72,685"
2020.02,미얀마,"1,550","65,788",702,"46,083","19,705"
2020.02,지브랄타,39,"64,563",0,0,"64,563"
2020.02,오만,997,"62,225",84,"288,854","-226,629"
2020.02,스웨덴,"1,354","57,240","4,590","112,528","-55,289"
2020.02,칠레,"2,285","54,141","1,257","247,351","-193,210"
2020.02,남아프리카공화국,"2,083","53,073",684,"102,343","-49,270"
2020.02,콜롬비아,"1,295","53,073",596,"56,040","-2,967"
2020.02,몰타,261,"52,608",146,"5,836","46,772"
2020.02,캄보디아,"2,623","51,224",623,"31,153","20,071"
2020.02,스위스,"1,277","50,987","4,518","224,586","-173,600"
2020.02,나이지리아,840,"49,248",80,"114,134","-64,885"
2020.02,리비아,"9,088","46,867",11,"2,126","44,741"
2020.02,페루,"1,277","45,831",730,"266,511","-220,680"
2020.02,루마니아,"1,022","43,365","4,446","47,833","-4,468"
2020.02,요르단,"1,633","40,840",79,"8,689","32,152"
2020.02,아르헨티나,951,"37,432",331,"79,746","-42,314"
2020.02,아일랜드,522,"35,521","1,212","104,967","-69,446"
2020.02,포루투갈,908,"32,511","6,566","28,688","3,823"
2020.02,우크라이나,"3,602","31,356",458,"113,612","-82,256"
2020.02,리투아니아,396,"31,064",585,"5,215","25,849"
2020.02,덴마크,"1,166","28,472","2,701","67,203","-38,732"
2020.02,바레인,319,"28,384",60,"47,865","-19,481"
2020.02,몽골,"1,874","25,178",407,"1,260","23,919"
2020.02,그리스,947,"23,041",385,"121,950","-98,909"
2020.02,알제리,270,"22,831",12,"105,738","-82,907"
2020.02,모로코,462,"22,166",723,"12,272","9,894"
2020.02,괌,353,"21,683",38,164,"21,519"
2020.02,과테말라,"1,255","20,908",291,"3,762","17,146"
2020.02,카타르,675,"20,273",153,"919,357","-899,083"
2020.02,핀란드,740,"20,075","1,143","61,266","-41,191"
2020.02,솔로몬 군도,27,"19,666",4,"1,294","18,372"
2020.02,이란,273,"18,170",48,"1,361","16,810"
2020.02,도미니카 공화국,458,"18,035",100,"5,377","12,658"
2020.02,불령 폴리네시아,54,"16,742",2,106,"16,636"
2020.02,수단,497,"16,258",12,"1,641","14,616"
2020.02,탄자니아,337,"15,308",36,"12,096","3,212"
2020.02,에쿠아도르,486,"15,178",222,"6,583","8,595"
2020.02,가나,"1,552","14,234",37,"2,266","11,968"
2020.02,스리랑카,983,"14,163",426,"6,566","7,596"
2020.02,케냐,325,"13,564",117,"2,609","10,955"
2020.02,온두라스,371,"13,406",98,"5,993","7,413"
2020.02,푸에르토리코,133,"12,557",95,"21,619","-9,062"
2020.02,불가리아,463,"12,178","1,541","13,370","-1,191"
